Number of Vehicles in Lane 1,Number of Vehicles in Lane 2,Number of Vehicles in Lane 3,Number of Vehicles in Lane 4,Lane 1 Traffic Flow,Lane 2 Traffic Flow,Lane 3 Traffic Flow,Lane 4 Traffic Flow,Lane 1 On Time,Lane 2 On Time,Lane 3 On Time,Lane 4 On Time,Lane 1 Saturation Flow,Lane 2 Saturation Flow,Lane 3 Saturation Flow,Lane 4 Saturation Flow,Lane 1 Flow Ratio,Lane 2 Flow Ratio,Lane 3 Flow Ratio,Lane 4 Flow Ratio,Total Flow Ratio,Optimum Cycle Time,Width of Lane 1,Width of Lane 2,Width of Lane 3,Width of Lane 4,Intergreen Period,Amber Period,Number of Phases,Initial Delay,Minimum On Time,Maximum Cycle Time,Total Time Lost
0,27,17,4,0.0,34.25,26.5,4.0,10.0,20.0,15.0,10.0,180.0,180.0,180.0,180.0,0.0,0.19027777777777777,0.14722222222222223,0.022222222222222223,0.3597222222222222,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
26,38,24,26,41.5,66.75,38.0,29.41,25.0,40.0,22.0,17.0,180.0,180.0,180.0,180.0,0.23055555555555557,0.37083333333333335,0.2111111111111111,0.1633888888888889,0.975888888888889,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
7,1,34,42,11.0,0.33,45.75,65.0,10.0,10.0,30.0,43.0,180.0,180.0,180.0,180.0,0.06111111111111111,0.0018333333333333335,0.25416666666666665,0.3611111111111111,0.6782222222222223,110.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
14,0,9,21,22.25,0.0,12.5,28.0,10.0,10.0,10.0,14.0,180.0,180.0,180.0,180.0,0.12361111111111112,0.0,0.06944444444444445,0.15555555555555556,0.3486111111111111,60.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,30,7,37,0.0,33.5,11.0,53.25,10.0,17.0,10.0,28.0,180.0,180.0,180.0,180.0,0.0,0.18611111111111112,0.06111111111111111,0.29583333333333334,0.5430555555555556,80.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,1,7,10,24.75,1.0,11.0,14.25,14.0,10.0,10.0,11.0,180.0,180.0,180.0,180.0,0.1375,0.005555555555555556,0.06111111111111111,0.07916666666666666,0.2833333333333333,60.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
1,33,27,7,0.33,46.5,42.33,11.0,10.0,26.0,24.0,10.0,180.0,180.0,180.0,180.0,0.0018333333333333335,0.25833333333333336,0.23516666666666666,0.06111111111111111,0.5564444444444445,85.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
25,0,4,14,42.5,0.0,5.5,16.25,25.0,10.0,10.0,13.0,180.0,180.0,180.0,180.0,0.2361111111111111,0.0,0.030555555555555555,0.09027777777777778,0.35694444444444445,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,24,3,1,32.25,33.0,2.0,1.0,17.0,17.0,10.0,10.0,180.0,180.0,180.0,180.0,0.17916666666666667,0.18333333333333332,0.011111111111111112,0.005555555555555556,0.37916666666666665,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,16,25,24,0.0,17.0,36.0,29.0,10.0,10.0,17.0,14.0,180.0,180.0,180.0,180.0,0.0,0.09444444444444444,0.2,0.16111111111111112,0.4555555555555556,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
34,18,4,14,45.75,28.75,4.0,22.25,25.0,16.0,10.0,14.0,180.0,180.0,180.0,180.0,0.25416666666666665,0.1597222222222222,0.022222222222222223,0.12361111111111112,0.5597222222222222,80.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,9,24,17,0.0,12.5,29.0,30.5,10.0,10.0,15.0,16.0,180.0,180.0,180.0,180.0,0.0,0.06944444444444445,0.16111111111111112,0.16944444444444445,0.4,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
31,4,16,27,44.5,4.0,24.75,42.33,27.0,10.0,15.0,26.0,180.0,180.0,180.0,180.0,0.24722222222222223,0.022222222222222223,0.1375,0.23516666666666666,0.6421111111111111,95.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,24,26,24,24.75,33.0,41.5,26.5,17.0,22.0,28.0,18.0,180.0,180.0,180.0,180.0,0.1375,0.18333333333333332,0.23055555555555557,0.14722222222222223,0.6986111111111112,100.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
26,3,18,10,41.5,2.0,28.75,14.25,21.0,10.0,15.0,10.0,180.0,180.0,180.0,180.0,0.23055555555555557,0.011111111111111112,0.1597222222222222,0.07916666666666666,0.48055555555555557,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,18,1,16,32.25,28.75,0.33,17.0,16.0,14.0,10.0,11.0,180.0,180.0,180.0,180.0,0.17916666666666667,0.1597222222222222,0.0018333333333333335,0.09444444444444444,0.4351666666666667,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
18,12,37,12,21.25,19.5,53.25,14.25,12.0,11.0,30.0,10.0,180.0,180.0,180.0,180.0,0.11805555555555555,0.10833333333333334,0.29583333333333334,0.07916666666666666,0.601388888888889,80.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
1,14,4,30,0.33,22.25,4.0,43.75,10.0,14.0,10.0,23.0,180.0,180.0,180.0,180.0,0.0018333333333333335,0.12361111111111112,0.022222222222222223,0.24305555555555555,0.3907222222222222,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,1,25,42,23.0,1.0,42.5,56.5,15.0,10.0,28.0,37.0,180.0,180.0,180.0,180.0,0.12777777777777777,0.005555555555555556,0.2361111111111111,0.3138888888888889,0.6833333333333333,105.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
14,1,16,0,22.25,1.0,24.75,0.0,11.0,10.0,12.0,10.0,180.0,180.0,180.0,180.0,0.12361111111111112,0.005555555555555556,0.1375,0.0,0.2666666666666667,60.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
18,30,0,9,28.75,43.75,0.0,10.75,13.0,21.0,10.0,10.0,180.0,180.0,180.0,180.0,0.1597222222222222,0.24305555555555555,0.0,0.059722222222222225,0.4625,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
14,22,30,16,22.25,32.58,33.5,17.0,11.0,18.0,18.0,10.0,180.0,180.0,180.0,180.0,0.12361111111111112,0.181,0.18611111111111112,0.09444444444444444,0.5851666666666666,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
32,27,33,4,38.65,42.33,46.5,4.0,29.0,31.0,34.0,10.0,180.0,180.0,180.0,180.0,0.2147222222222222,0.23516666666666666,0.25833333333333336,0.022222222222222223,0.7304444444444446,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,4,16,3,32.25,4.0,24.75,2.0,16.0,10.0,13.0,10.0,180.0,180.0,180.0,180.0,0.17916666666666667,0.022222222222222223,0.1375,0.011111111111111112,0.35000000000000003,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
18,12,4,26,28.75,14.25,5.5,41.5,14.0,10.0,10.0,20.0,180.0,180.0,180.0,180.0,0.1597222222222222,0.07916666666666666,0.030555555555555555,0.23055555555555557,0.5,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,0,27,1,19.5,0.0,31.83,1.0,11.0,10.0,18.0,10.0,180.0,180.0,180.0,180.0,0.10833333333333334,0.0,0.17683333333333331,0.005555555555555556,0.2907222222222222,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
14,38,26,12,16.25,66.75,41.5,25.25,11.0,46.0,29.0,18.0,180.0,180.0,180.0,180.0,0.09027777777777778,0.37083333333333335,0.23055555555555557,0.14027777777777778,0.8319444444444444,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
42,25,32,0,65.0,36.0,38.65,0.0,44.0,24.0,26.0,10.0,180.0,180.0,180.0,180.0,0.3611111111111111,0.2,0.2147222222222222,0.0,0.7758333333333334,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,16,24,16,12.5,20.5,33.0,23.0,10.0,11.0,17.0,12.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.11388888888888889,0.18333333333333332,0.12777777777777777,0.49444444444444446,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,32,2,33,19.5,38.65,2.75,46.5,11.0,22.0,10.0,26.0,180.0,180.0,180.0,180.0,0.10833333333333334,0.2147222222222222,0.015277777777777777,0.25833333333333336,0.5966666666666667,85.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
7,7,34,37,11.0,11.0,45.75,50.33,10.0,10.0,28.0,31.0,180.0,180.0,180.0,180.0,0.06111111111111111,0.06111111111111111,0.25416666666666665,0.2796111111111111,0.6559999999999999,95.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
33,42,12,34,46.5,65.0,25.25,45.75,26.0,37.0,14.0,26.0,180.0,180.0,180.0,180.0,0.25833333333333336,0.3611111111111111,0.14027777777777778,0.25416666666666665,1.0138888888888888,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
25,9,3,7,42.5,10.75,3.0,11.0,21.0,10.0,10.0,10.0,180.0,180.0,180.0,180.0,0.2361111111111111,0.059722222222222225,0.016666666666666666,0.06111111111111111,0.3736111111111111,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
38,16,14,30,51.25,17.0,22.25,33.5,33.0,11.0,14.0,21.0,180.0,180.0,180.0,180.0,0.2847222222222222,0.09444444444444444,0.12361111111111112,0.18611111111111112,0.6888888888888889,95.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
42,0,16,0,56.5,0.0,20.5,0.0,29.0,10.0,13.0,10.0,180.0,180.0,180.0,180.0,0.3138888888888889,0.0,0.11388888888888889,0.0,0.42777777777777776,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
30,26,1,32,43.75,41.5,0.33,38.65,28.0,26.0,10.0,25.0,180.0,180.0,180.0,180.0,0.24305555555555555,0.23055555555555557,0.0018333333333333335,0.2147222222222222,0.6901666666666666,105.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,4,4,25,0.0,4.0,4.0,37.25,10.0,10.0,10.0,21.0,180.0,180.0,180.0,180.0,0.0,0.022222222222222223,0.022222222222222223,0.20694444444444443,0.2513888888888889,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,33,0,16,33.0,46.5,0.0,20.5,18.0,25.0,10.0,13.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.25833333333333336,0.0,0.11388888888888889,0.5555555555555556,80.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
18,19,16,34,21.25,26.75,23.0,45.75,13.0,16.0,14.0,27.0,180.0,180.0,180.0,180.0,0.11805555555555555,0.1486111111111111,0.12777777777777777,0.25416666666666665,0.648611111111111,85.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
33,0,0,42,46.5,0.0,0.0,65.0,27.0,10.0,10.0,37.0,180.0,180.0,180.0,180.0,0.25833333333333336,0.0,0.0,0.3611111111111111,0.6194444444444445,100.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
42,16,1,16,56.5,17.0,0.33,20.5,32.0,10.0,10.0,13.0,180.0,180.0,180.0,180.0,0.3138888888888889,0.09444444444444444,0.0018333333333333335,0.11388888888888889,0.5240555555555556,80.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
18,38,1,10,21.25,66.75,0.33,14.25,11.0,38.0,10.0,10.0,180.0,180.0,180.0,180.0,0.11805555555555555,0.37083333333333335,0.0018333333333333335,0.07916666666666666,0.5698888888888889,85.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,29,42,16,23.0,41.25,65.0,20.5,16.0,29.0,45.0,14.0,180.0,180.0,180.0,180.0,0.12777777777777777,0.22916666666666666,0.3611111111111111,0.11388888888888889,0.8319444444444444,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,24,14,12,12.5,33.0,22.25,25.25,10.0,16.0,11.0,13.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.18333333333333332,0.12361111111111112,0.14027777777777778,0.5166666666666666,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
31,24,14,0,44.5,32.25,22.25,0.0,22.0,16.0,11.0,10.0,180.0,180.0,180.0,180.0,0.24722222222222223,0.17916666666666667,0.12361111111111112,0.0,0.55,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,9,9,17,33.0,12.5,10.75,26.5,16.0,10.0,10.0,13.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.06944444444444445,0.059722222222222225,0.14722222222222223,0.45972222222222225,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
4,9,4,12,5.5,12.5,4.0,19.5,10.0,10.0,10.0,11.0,180.0,180.0,180.0,180.0,0.030555555555555555,0.06944444444444445,0.022222222222222223,0.10833333333333334,0.23055555555555557,55.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
2,26,7,16,2.75,41.5,11.0,23.0,10.0,22.0,10.0,12.0,180.0,180.0,180.0,180.0,0.015277777777777777,0.23055555555555557,0.06111111111111111,0.12777777777777777,0.43472222222222223,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
26,0,24,34,41.5,0.0,38.0,45.75,28.0,10.0,25.0,31.0,180.0,180.0,180.0,180.0,0.23055555555555557,0.0,0.2111111111111111,0.25416666666666665,0.6958333333333333,110.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,25,37,17,20.5,42.5,50.33,26.5,15.0,32.0,37.0,20.0,180.0,180.0,180.0,180.0,0.11388888888888889,0.2361111111111111,0.2796111111111111,0.14722222222222223,0.7768333333333334,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
38,17,4,24,66.75,26.5,4.0,29.0,46.0,18.0,10.0,20.0,180.0,180.0,180.0,180.0,0.37083333333333335,0.14722222222222223,0.022222222222222223,0.16111111111111112,0.701388888888889,110.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
42,17,34,2,56.5,30.5,45.75,2.75,40.0,22.0,32.0,10.0,180.0,180.0,180.0,180.0,0.3138888888888889,0.16944444444444445,0.25416666666666665,0.015277777777777777,0.7527777777777778,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,1,25,27,0.0,1.0,42.5,42.33,10.0,10.0,22.0,22.0,180.0,180.0,180.0,180.0,0.0,0.005555555555555556,0.2361111111111111,0.23516666666666666,0.47683333333333333,80.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
31,0,22,38,44.5,0.0,32.58,51.25,31.0,10.0,23.0,36.0,180.0,180.0,180.0,180.0,0.24722222222222223,0.0,0.181,0.2847222222222222,0.7129444444444444,115.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
32,16,33,24,38.65,17.0,46.5,33.0,30.0,13.0,36.0,25.0,180.0,180.0,180.0,180.0,0.2147222222222222,0.09444444444444444,0.25833333333333336,0.18333333333333332,0.7508333333333334,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,27,42,1,14.25,34.25,65.0,0.33,10.0,20.0,38.0,10.0,180.0,180.0,180.0,180.0,0.07916666666666666,0.19027777777777777,0.3611111111111111,0.0018333333333333335,0.6323888888888889,95.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,25,4,26,12.5,37.25,4.0,41.5,10.0,20.0,10.0,23.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.20694444444444443,0.022222222222222223,0.23055555555555557,0.5291666666666667,80.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
7,0,19,7,11.0,0.0,26.75,11.0,10.0,10.0,15.0,10.0,180.0,180.0,180.0,180.0,0.06111111111111111,0.0,0.1486111111111111,0.06111111111111111,0.2708333333333333,60.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
3,2,16,25,2.0,2.75,24.75,42.5,10.0,10.0,13.0,22.0,180.0,180.0,180.0,180.0,0.011111111111111112,0.015277777777777777,0.1375,0.2361111111111111,0.4,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
17,1,24,12,26.5,0.33,29.0,19.5,12.0,10.0,13.0,11.0,180.0,180.0,180.0,180.0,0.14722222222222223,0.0018333333333333335,0.16111111111111112,0.10833333333333334,0.41850000000000004,60.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,27,38,17,10.75,42.33,51.25,30.5,10.0,32.0,39.0,23.0,180.0,180.0,180.0,180.0,0.059722222222222225,0.23516666666666666,0.2847222222222222,0.16944444444444445,0.7490555555555556,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,16,26,2,25.25,24.75,29.41,2.75,12.0,12.0,14.0,10.0,180.0,180.0,180.0,180.0,0.14027777777777778,0.1375,0.1633888888888889,0.015277777777777777,0.4564444444444445,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,0,17,29,0.0,0.0,26.5,41.25,10.0,10.0,13.0,21.0,180.0,180.0,180.0,180.0,0.0,0.0,0.14722222222222223,0.22916666666666666,0.3763888888888889,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
38,25,25,25,66.75,42.5,36.0,37.25,38.0,24.0,21.0,21.0,180.0,180.0,180.0,180.0,0.37083333333333335,0.2361111111111111,0.2,0.20694444444444443,1.0138888888888888,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
14,18,25,14,16.25,21.25,36.0,22.25,10.0,11.0,20.0,12.0,180.0,180.0,180.0,180.0,0.09027777777777778,0.11805555555555555,0.2,0.12361111111111112,0.5319444444444444,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
30,30,29,0,33.5,43.75,41.25,0.0,20.0,25.0,24.0,10.0,180.0,180.0,180.0,180.0,0.18611111111111112,0.24305555555555555,0.22916666666666666,0.0,0.6583333333333333,95.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,16,0,32,38.0,17.0,0.0,38.65,22.0,10.0,10.0,22.0,180.0,180.0,180.0,180.0,0.2111111111111111,0.09444444444444444,0.0,0.2147222222222222,0.5202777777777778,80.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,27,16,24,0.0,42.33,20.5,33.0,10.0,22.0,13.0,17.0,180.0,180.0,180.0,180.0,0.0,0.23516666666666666,0.11388888888888889,0.18333333333333332,0.5323888888888889,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,24,9,3,33.0,26.5,12.5,2.0,16.0,12.0,10.0,10.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.14722222222222223,0.06944444444444445,0.011111111111111112,0.41111111111111115,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
4,2,14,18,4.0,2.75,16.25,28.75,10.0,10.0,14.0,18.0,180.0,180.0,180.0,180.0,0.022222222222222223,0.015277777777777777,0.09027777777777778,0.1597222222222222,0.2875,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,21,9,5,0.0,28.0,12.5,10.5,10.0,18.0,10.0,10.0,180.0,180.0,180.0,180.0,0.0,0.15555555555555556,0.06944444444444445,0.058333333333333334,0.2833333333333333,60.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
17,14,24,24,30.5,16.25,26.5,29.0,17.0,10.0,14.0,16.0,180.0,180.0,180.0,180.0,0.16944444444444445,0.09027777777777778,0.14722222222222223,0.16111111111111112,0.5680555555555555,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,25,24,14,10.75,36.0,33.0,16.25,10.0,20.0,18.0,10.0,180.0,180.0,180.0,180.0,0.059722222222222225,0.2,0.18333333333333332,0.09027777777777778,0.5333333333333333,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
42,16,19,9,65.0,20.5,26.75,12.5,43.0,13.0,18.0,10.0,180.0,180.0,180.0,180.0,0.3611111111111111,0.11388888888888889,0.1486111111111111,0.06944444444444445,0.6930555555555555,100.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,24,4,24,0.0,32.25,4.0,29.0,10.0,18.0,10.0,16.0,180.0,180.0,180.0,180.0,0.0,0.17916666666666667,0.022222222222222223,0.16111111111111112,0.36250000000000004,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
42,17,0,5,56.5,30.5,0.0,10.5,29.0,16.0,10.0,10.0,180.0,180.0,180.0,180.0,0.3138888888888889,0.16944444444444445,0.0,0.058333333333333334,0.5416666666666666,80.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,17,16,16,0.0,26.5,20.5,23.0,10.0,13.0,13.0,14.0,180.0,180.0,180.0,180.0,0.0,0.14722222222222223,0.11388888888888889,0.12777777777777777,0.3888888888888889,60.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
30,12,25,24,33.5,14.25,42.5,38.0,23.0,10.0,29.0,26.0,180.0,180.0,180.0,180.0,0.18611111111111112,0.07916666666666666,0.2361111111111111,0.2111111111111111,0.7125,105.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
21,25,26,4,28.0,37.25,29.41,4.0,14.0,19.0,15.0,10.0,180.0,180.0,180.0,180.0,0.15555555555555556,0.20694444444444443,0.1633888888888889,0.022222222222222223,0.5481111111111111,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
3,32,18,9,3.0,38.65,21.25,10.75,10.0,19.0,12.0,10.0,180.0,180.0,180.0,180.0,0.016666666666666666,0.2147222222222222,0.11805555555555555,0.059722222222222225,0.4091666666666667,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
